case_id,medicine_name,medicine_criticality,cold_chain_required,supplier_id,destination_facility,supplier_on_time_rate,supplier_fill_rate,lead_time_days,lead_time_variability,route_delay_days,weather_risk_score,demand_spike_factor,current_stock_days,warehouse_utilization,safety_stock_gap,disruption_within_7d
C1,Pentavalent Vaccine,5,1,S4,District Hospital Ajmer,0.885,0.798,6,2.15,1.08,10,0.5,8,73,0,1
C2,Oxytocin,5,0,S2,District Hospital Jodhpur,0.761,0.813,6,3.31,4.13,8,1.54,17,76,0,1
C3,Iron Folic Acid,2,0,S3,Medical College Kota,0.99,0.899,4,3.13,3.0,8,0.79,20,77,0,0
C4,Pentavalent Vaccine,5,1,S8,PHC Alwar,0.785,0.821,3,0.76,0.0,5,1.38,22,91,0,0
C5,Amoxicillin,4,0,S10,Medical College Kota,0.909,0.877,9,3.68,6.28,7,1.17,15,73,0,0
C6,Adrenaline Injection,5,0,S9,District Hospital Ajmer,0.899,0.918,4,3.83,2.36,9,1.46,7,90,1,1
C7,Salbutamol,4,0,S8,Medical College Kota,0.762,0.841,8,4.32,3.72,7,1.16,3,86,5,0
C8,Ceftriaxone,4,0,S1,District Hospital Ajmer,0.618,1.0,8,3.01,1.23,2,0.66,7,98,1,0
C9,ORS,3,0,S5,PHC Alwar,0.925,1.0,5,2.7,2.59,2,1.18,6,77,2,0
C10,Adrenaline Injection,5,0,S4,CHC Udaipur,0.959,0.826,8,3.63,0.94,0,1.24,1,76,7,0
C11,ORS,3,0,S9,PHC Sikar,0.821,0.837,10,5.42,1.22,9,1.16,22,81,0,0
C12,Salbutamol,4,0,S4,District Hospital Jaipur,0.8,0.858,8,2.46,0.0,0,0.99,24,66,0,0
C13,Amoxicillin,4,0,S2,Medical College Kota,0.797,0.89,3,0.0,4.16,5,1.27,11,66,0,1
C14,Paracetamol Injection,3,0,S5,Medical College Kota,0.682,0.855,2,2.83,1.55,2,0.58,20,85,0,0
C15,Ceftriaxone,4,0,S3,Medical College Kota,0.693,0.907,2,3.14,0.0,7,0.86,18,72,0,0
C16,Iron Folic Acid,2,0,S3,PHC Alwar,0.714,0.964,10,3.29,0.0,0,1.04,16,61,0,0
C17,Anti-snake Venom,5,1,S7,District Hospital Jaipur,0.936,0.754,4,2.07,3.42,0,0.76,8,85,0,0
C18,ORS,3,0,S3,District Hospital Jodhpur,0.848,0.889,3,1.43,1.81,5,0.57,3,65,5,1
C19,ORS,3,0,S1,Medical College Kota,0.73,0.747,5,4.51,0.18,2,1.29,12,100,0,0
C20,Rabies Vaccine,5,1,S6,CHC Udaipur,0.99,0.948,3,2.14,3.84,0,0.53,5,97,3,1
C21,Ceftriaxone,4,0,S1,District Hospital Jodhpur,0.805,0.934,6,3.0,1.59,3,0.7,23,82,0,0
C22,Amoxicillin,4,0,S9,CHC Bikaner,0.638,0.877,9,3.08,0.0,10,1.49,10,51,0,0
C23,Paracetamol Injection,3,0,S1,District Hospital Jaipur,0.705,0.998,11,3.27,2.42,8,0.74,7,85,1,1
C24,Insulin,5,1,S8,District Hospital Jodhpur,0.843,0.804,4,2.31,0.0,1,0.5,23,71,0,0
C25,Iron Folic Acid,2,0,S6,CHC Bikaner,0.77,0.92,11,1.79,3.46,4,1.55,12,93,0,0
C26,ORS,3,0,S6,District Hospital Ajmer,0.835,0.823,4,0.56,3.95,1,1.29,10,79,0,0
C27,Paracetamol Injection,3,0,S3,Medical College Kota,0.717,0.944,11,1.34,4.49,9,0.96,22,97,0,1
C28,Oxytocin,5,0,S1,District Hospital Jodhpur,0.92,1.0,6,2.84,0.0,9,1.65,16,100,0,1
C29,Salbutamol,4,0,S5,PHC Alwar,0.792,1.0,11,3.55,2.58,3,0.91,23,59,0,1
C30,ORS,3,0,S2,Medical College Kota,0.67,1.0,11,0.35,7.24,3,1.03,16,73,0,1
C31,Amoxicillin,4,0,S1,Medical College Kota,0.898,0.873,9,3.62,4.76,0,1.75,5,61,3,0
C32,Insulin,5,1,S8,CHC Bikaner,0.586,0.793,3,1.2,1.7,6,0.85,17,75,0,0
C33,Iron Folic Acid,2,0,S10,CHC Bikaner,0.671,0.778,8,3.04,0.25,10,1.13,21,85,0,0
C34,Salbutamol,4,0,S8,District Hospital Jodhpur,0.89,1.0,5,3.29,3.8,7,0.79,23,81,0,1
C35,Insulin,5,1,S7,District Hospital Ajmer,0.716,0.939,2,2.01,7.36,8,1.24,17,85,0,1
C36,Salbutamol,4,0,S3,Medical College Kota,0.783,0.899,5,2.31,4.94,4,1.37,5,84,3,0
C37,ORS,3,0,S5,Medical College Kota,0.99,0.9,10,3.42,3.94,5,1.09,10,58,0,1
C38,Iron Folic Acid,2,0,S2,District Hospital Ajmer,0.759,0.702,9,2.62,0.0,3,0.51,17,56,0,1
C39,ORS,3,0,S4,CHC Udaipur,0.8,1.0,7,0.97,3.0,2,0.99,13,99,0,0
C40,Iron Folic Acid,2,0,S4,Medical College Kota,0.7,0.925,8,3.3,2.43,8,1.54,17,74,0,1
C41,Rabies Vaccine,5,1,S5,CHC Udaipur,0.592,0.92,7,3.77,0.0,8,1.8,14,64,0,0
C42,Oxytocin,5,0,S6,CHC Udaipur,0.869,1.0,11,1.45,5.44,7,0.72,4,75,4,1
C43,Adrenaline Injection,5,0,S2,Medical College Kota,0.59,0.896,5,0.23,2.72,2,1.26,2,59,6,0
C44,Amoxicillin,4,0,S5,PHC Alwar,0.99,1.0,3,1.83,0.0,5,1.47,17,62,0,0
C45,Salbutamol,4,0,S3,PHC Alwar,0.807,0.854,7,3.01,4.94,4,1.0,5,86,3,1
C46,Ceftriaxone,4,0,S1,District Hospital Ajmer,0.826,0.753,4,2.29,0.0,0,0.77,17,89,0,0
C47,Adrenaline Injection,5,0,S8,PHC Alwar,0.849,1.0,7,1.72,3.11,0,1.72,17,97,0,0
C48,Pentavalent Vaccine,5,1,S5,District Hospital Ajmer,0.99,0.975,8,3.29,3.41,10,0.5,19,83,0,1
C49,Rabies Vaccine,5,1,S1,District Hospital Jodhpur,0.788,0.913,11,0.0,1.4,7,1.04,2,62,6,0
C50,Anti-snake Venom,5,1,S3,PHC Alwar,0.762,0.75,9,3.23,3.29,10,0.92,18,100,0,1
C51,Oxytocin,5,0,S2,Medical College Kota,0.792,0.852,7,2.34,0.0,9,0.57,15,71,0,0
C52,Anti-snake Venom,5,1,S1,CHC Bikaner,0.681,0.878,9,2.55,5.77,6,0.89,14,73,0,0
C53,Iron Folic Acid,2,0,S8,PHC Sikar,0.889,0.891,3,4.79,0.0,8,0.73,7,66,1,0
C54,Iron Folic Acid,2,0,S9,District Hospital Jaipur,0.889,0.825,11,0.0,1.49,3,1.52,15,71,0,0
C55,Paracetamol Injection,3,0,S8,District Hospital Jaipur,0.579,0.967,6,4.59,0.0,1,1.0,6,86,2,1
C56,Oxytocin,5,0,S6,District Hospital Ajmer,0.623,0.814,5,1.56,2.94,5,1.05,22,98,0,0
C57,Rabies Vaccine,5,1,S3,CHC Udaipur,0.832,0.935,9,4.36,1.35,4,0.8,19,69,0,0
C58,Insulin,5,1,S1,CHC Bikaner,0.7,0.839,5,2.71,3.09,5,0.5,18,59,0,1
C59,Iron Folic Acid,2,0,S2,District Hospital Ajmer,0.75,0.886,6,6.08,0.41,2,1.2,12,99,0,0
C60,Paracetamol Injection,3,0,S9,CHC Bikaner,0.796,0.909,9,4.87,2.46,2,1.24,21,86,0,0
C61,Anti-snake Venom,5,1,S10,CHC Udaipur,0.925,0.827,10,1.75,4.93,7,0.76,6,82,2,0
